StudentID,TrialNum,Stimulus,Rating
1,1,4,6
1,2,39,4
1,3,93,10
1,4,1,6
1,5,47,3
1,6,86,7
1,7,52,5
1,8,13,6
1,9,20,5
1,10,28,2
1,11,91,6
1,12,76,1
1,13,11,7
1,14,34,5
1,15,66,5
1,16,17,3
1,17,84,3
1,18,32,6
1,19,83,4
1,20,42,8
1,21,25,6
1,22,64,5
1,23,56,7
1,24,81,7
1,25,79,8
1,26,16,7
1,27,8,4
1,28,50,5
1,29,71,9
1,30,41,5
1,31,44,7
1,32,88,6
1,33,35,7
1,34,27,5
1,35,37,5
1,36,92,2
1,37,19,3
1,38,58,5
1,39,3,8
1,40,75,7
1,41,22,6
1,42,82,4
1,43,24,6
1,44,60,6
1,45,7,3
1,46,21,5
1,47,85,5
1,48,31,4
1,49,96,7
1,50,30,4
1,51,95,7
1,52,48,4
1,53,94,4
1,54,9,3
1,55,33,8
1,56,54,4
1,57,36,3
1,58,26,3
1,59,100,8
1,60,80,6
1,61,67,6
1,62,14,3
1,63,63,7
1,64,23,5
1,65,15,7
1,66,62,6
1,67,18,8
1,68,65,4
1,69,74,8
1,70,55,5
1,71,72,6
1,72,49,7
1,73,70,1
1,74,97,7
1,75,43,6
1,76,51,1
1,77,38,4
1,78,68,4
1,79,46,7
1,80,53,3
1,81,77,1
1,82,99,9
1,83,6,2
1,84,10,10
1,85,87,2
1,86,40,6
1,87,45,7
1,88,98,7
1,89,90,6
1,90,29,9
1,91,61,2
1,92,57,7
1,93,73,6
1,94,59,5
1,95,89,2
1,96,5,8
1,97,78,3
1,98,12,3
1,99,69,4
1,100,2,7
2,1,97,5
2,2,49,5
2,3,13,5
2,4,67,4
2,5,43,6
2,6,8,6
2,7,7,6
2,8,46,4
2,9,88,5
2,10,74,8
2,11,64,7
2,12,95,6
2,13,69,3
2,14,78,6
2,15,11,10
2,16,12,6
2,17,65,5
2,18,16,10
2,19,98,5
2,20,6,4
2,21,23,5
2,22,84,8
2,23,52,3
2,24,72,7
2,25,90,3
2,26,94,5
2,27,66,7
2,28,58,5
2,29,36,4
2,30,47,5
2,31,70,3
2,32,10,7
2,33,48,3
2,34,37,5
2,35,5,3
2,36,56,5
2,37,34,4
2,38,96,4
2,39,57,6
2,40,29,5
2,41,35,6
2,42,38,1
2,43,40,7
2,44,9,1
2,45,26,6
2,46,82,5
2,47,61,5
