"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_facetest_response","correct_instructions","correct_sexrating_response","count_blank100","count_exemplarsequence","count_experiment","count_exposure","count_exposuresequence","count_faceexpose","count_facetest","count_facetest_response","count_instructions","count_logger","count_notes","count_sexrating","count_sexrating_response","count_test","count_testinstructions","datetime","description","disable_garbage_collection","experiment_file","experiment_path","faceno","fname","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_exposure","logfile","mouse_backend","opensesame_codename","opensesame_version","phase","repeat_cycle","response","response_facetest_response","response_instructions","response_sexrating_response","response_testinstructions","response_time","response_time_facetest_response","response_time_instructions","response_time_sexrating_response","response_time_testinstructions","round_decimals","sampler_backend","shifttype","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_blank100","time_exemplarsequence","time_experiment","time_exposure","time_exposuresequence","time_faceexpose","time_facetest","time_facetest_response","time_instructions","time_logger","time_notes","time_sexrating","time_sexrating_response","time_test","time_testinstructions","title","total_correct","total_response_time","total_responses","transparent_variables","type","uniform_coordinates","width","xshift","yshift"
"undefined","undefined","1295","1295","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","0","NA","0","0","0","0","NA","NA","0","0","0","0","0","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","3","0308.png","no","mono","no","18","no","black","no","no","1080","legacy","0","0","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","1295","NA","922","1295","NA","2","legacy","vertical","1024","2","48000","-16","experiment","12","even","legacy","1696","NA","686","1619","1693","1799","NA","NA","696","4098","NA","2801","2802","NA","NA","Feature Shift Prototypes","0","1295","1","no","NA","no","1920","0","8"
"undefined","undefined","648.5","648.5","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","1","NA","0","0","1","1","NA","NA","0","1","0","1","1","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","6","06-80.png","no","mono","no","18","no","black","no","no","1080","legacy","1","1","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","2","NA","922","2","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","12","even","legacy","4250","NA","686","1619","4246","4354","NA","NA","696","5360","NA","5356","5357","NA","NA","Feature Shift Prototypes","0","1297","2","no","NA","no","1920","-8","0"
"undefined","undefined","617","617","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","2","NA","0","0","2","2","NA","NA","0","2","0","2","2","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","7","070-8.png","no","mono","no","18","no","black","no","no","1080","legacy","2","2","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","554","NA","922","554","NA","2","legacy","vertical","1024","2","48000","-16","experiment","12","even","legacy","5455","NA","686","1619","5452","5557","NA","NA","696","7113","NA","6559","6559","NA","NA","Feature Shift Prototypes","0","1851","3","no","NA","no","1920","0","-8"
"undefined","undefined","581.5","581.5","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","3","NA","0","0","3","3","NA","NA","0","3","0","3","3","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","5","050-8.png","no","mono","no","18","no","black","no","no","1080","legacy","3","3","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","475","NA","922","475","NA","2","legacy","vertical","1024","2","48000","-16","experiment","12","even","legacy","7196","NA","686","1619","7193","7300","NA","NA","696","8779","NA","8302","8303","NA","NA","Feature Shift Prototypes","0","2326","4","no","NA","no","1920","0","-8"
"undefined","undefined","544.2","544.2","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","4","NA","0","0","4","4","NA","NA","0","4","0","4","4","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","1","0108.png","no","mono","no","18","no","black","no","no","1080","legacy","4","4","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","7","NA","space","7","NA","395","NA","922","395","NA","2","legacy","vertical","1024","2","48000","-16","experiment","12","even","legacy","8860","NA","686","1619","8857","8964","NA","NA","696","10362","NA","9967","9967","NA","NA","Feature Shift Prototypes","0","2721","5","no","NA","no","1920","0","8"
"undefined","undefined","516.333333333","516.333333333","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","5","NA","0","0","5","5","NA","NA","0","5","0","5","5","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","1","0108.png","no","mono","no","18","no","black","no","no","1080","legacy","5","5","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","377","NA","922","377","NA","2","legacy","vertical","1024","2","48000","-16","experiment","12","even","legacy","10447","NA","686","1619","10444","10550","NA","NA","696","11931","NA","11552","11553","NA","NA","Feature Shift Prototypes","0","3098","6","no","NA","no","1920","0","8"
"undefined","undefined","512","512","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","6","NA","0","0","6","6","NA","NA","0","6","0","6","6","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","5","050-8.png","no","mono","no","18","no","black","no","no","1080","legacy","6","6","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","4","NA","space","4","NA","486","NA","922","486","NA","2","legacy","vertical","1024","2","48000","-16","experiment","12","even","legacy","12011","NA","686","1619","12008","12113","NA","NA","696","13603","NA","13115","13116","NA","NA","Feature Shift Prototypes","0","3584","7","no","NA","no","1920","0","-8"
"undefined","undefined","508.875","508.875","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","7","NA","0","0","7","7","NA","NA","0","7","0","7","7","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","5","0508.png","no","mono","no","18","no","black","no","no","1080","legacy","7","7","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","5","NA","space","5","NA","487","NA","922","487","NA","2","legacy","vertical","1024","2","48000","-16","experiment","12","even","legacy","13704","NA","686","1619","13701","13806","NA","NA","696","15298","NA","14809","14810","NA","NA","Feature Shift Prototypes","0","4071","8","no","NA","no","1920","0","8"
"undefined","undefined","502.555555556","502.555555556","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","8","NA","0","0","8","8","NA","NA","0","8","0","8","8","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","6","06-80.png","no","mono","no","18","no","black","no","no","1080","legacy","8","8","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","6","NA","space","6","NA","452","NA","922","452","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","12","even","legacy","15412","NA","686","1619","15409","15514","NA","NA","696","16970","NA","16517","16518","NA","NA","Feature Shift Prototypes","0","4523","9","no","NA","no","1920","-8","0"
"undefined","undefined","496.1","496.1","white","no","legacy","legacy","legacy","0","relative","undefined","NA","undefined","undefined","9","NA","0","0","9","9","NA","NA","0","9","0","9","9","0","0","Thu 31 Oct 2019 11:43:21 GMT","","yes","facialproto_short.osexp","/home/andy/svn/rmip/docs/openseslib","6","0680.png","no","mono","no","18","no","black","no","no","1080","legacy","9","9","/home/andy/svn/rmip/docs/openseslib/subject-12.csv","legacy","Kafkaesque Koffka","3.2.7","exposure","0","7","NA","space","7","NA","438","NA","922","438","NA","2","legacy","horizontal","1024","2","48000","-16","experiment","12","even","legacy","17067","NA","686","1619","17064","17170","NA","NA","696","18611","NA","18172","18172","NA","NA","Feature Shift Prototypes","0","4961","10","no","NA","no","1920","8","0"
